"","site","date","time","temp","p_h","sp_cond","tds","redox","do_mg_l","do_sat","depth_m","chlorophyll_a_ug_l","salinity_psu","year","orthophosphate_as_p","phosphorus","calcium","chloride","magnesium","mercury","nitrogen_ammonia","nitrogen_kjeldahl_total","nitrogen_no2_plus_no3","sodium","total_suspended_solids","alkalinity_carbonate_co3","alkalinity_hydroxide_ca_co3","alkalinity_hydroxide_oh","alkalinity_total_as_ca_co3","alkalinity_bicarbonate_ca_co3","alkalinity_bicarbonate_hco3","alkalinity_carbonate_ca_co3","arsenic","lead","sulfate","chlorophyll_a","chlorophyll_a_non_pc","iron","flag"
"68","Mystic Lake Center",2024-05-22,"9:23",19.482,8.065,696,0.445,328.6,8.066,92.16,0.974,13.19,0.34,24,0.005,0.046,36900,133,23200,NA,0.05,1.1,0.05,65000,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1,17.3,NA,TRUE
"69","Mystic Lake Center",2024-06-10,"8:49",20.5826087,9.166521739,541,0.346043478,350.9130435,11.96652174,137.7043478,0.261674396,4.47,0.265652174,24,0.0036,0.018,23200,134,20200,NA,0.05,0.78,0.05,53600,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,8.3,NA,TRUE
"70","Mystic Lake Center",2024-06-25,"9:48",25.22407407,8.572222222,523.2222222,0.334925926,289.7407407,11.87481481,150.9185185,0.586222222,10.21333333,0.252592593,24,0.005,0.017,19800,103,17400,NA,0.05,0.7,0.05,44200,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,7.8,NA,TRUE
"71","Mystic Lake Center",2024-07-01,"8:48",21.679,8.881,536.7,0.3434,357.8,9.173,107.49,0.6116,NA,0.26,24,0.0044,0.026,23200,106,18800,0.005,0.064,0.78,0.05,49100,2,29.9,2.5,2.5,96.3,46.5,56.7,49.8,10,5,1,4.1,5,NA,TRUE
"72","Mystic Lake Center",2024-07-17,"8:42",24.18636364,9.029090909,520.3636364,0.333,276,7.895454545,97.27272727,0.640545455,NA,0.25,24,0.005,0.02,21400,104,18400,NA,0.05,0.9,0.05,45200,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,8.1,NA,TRUE
"73","Mystic Lake Center",2024-07-29,"8:41",26.108,8.588,547.5,0.35,352.1,7.366,95,0.4789,NA,0.268,24,0.005,0.01,23200,104,18200,NA,0.05,0.82,0.05,46300,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5.4,NA,TRUE
"74","Mystic Lake Center",2024-08-12,"9:08",21.31714286,7.692857143,607,0.388642857,365.9285714,7.687142857,89.63571429,0.564071429,NA,0.3,24,0.0036,0.012,37700,102,19100,0.005,0.05,0.87,0.05,46800,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,5.9,6.9,NA,TRUE
"75","Mystic Lake Center",2024-08-22,"8:41",22.2,7.778,574,0.367,297,5.84,69.16,0.5798,NA,0.28,24,0.005,0.0088,31100,103,19500,NA,0.05,0.77,0.05,47400,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,8.4,NA,TRUE
"76","Mystic Lake Center",2024-09-11,"9:06",19.787,8.001,589,0.377,357.6,7.676,87.49,0.6679,NA,0.29,24,0.005,NA,31500,107,19600,0.005,0.05,1,0.05,46700,1.8,2.5,2.5,2.5,134,134,164,2.5,10,5,0.6,5.2,6.1,NA,TRUE
"77","Mystic Lake Center",2024-09-23,"9:43",19.94066667,7.527333333,609.7333333,0.390133333,313.6666667,4.846666667,55.16666667,0.571266667,NA,0.3,24,0.005,0.0098,33300,112,20500,NA,0.05,1.1,0.11,45700,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,6.7,7.4,NA,TRUE
"78","Mystic Lake Center",2024-10-08,"9:31",14.096,7.634,634,0.406,297.4,8.148,82.06,0.5256,NA,0.31,24,0.005,0.01,34600,117,20900,NA,0.05,0.93,0.05,52500,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,6.3,NA,TRUE
"79","Mystic Lake Center",2024-10-24,"9:32",12.4345,7.5185,643.95,0.412,335.45,8.594,83.585,0.5931,NA,0.32,24,NA,0.015,34200,133,21600,NA,0.05,0.83,0.05,54000,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,6.5,NA,TRUE
